#ID = 
#Grid Position = Position of spot on microarray
#Name = Gene Name
#Clone_description = Description of source of cDNA for microarray
#Gene Names = alternative  gene names
#GB_ACC = GenBank Accesssion number
#Symbol = Gene Symbol
#Mouse Unigene = Unigene number
#LocusLink ID = Locus link ID number
#SPOT_ID = 
*ID**	Grid Position**	Name**	Clone_description**	Gene Names**	GB_ACC**	Symbol**	Mouse Unigene**	LocusLink ID**	SPOT_ID*
15366	GRID- 315-R3C1	RNA and export factor binding protein 1	Mus musculus Tcra enhancer-binding  factor interacting protein 1 (Tebfip-pending), mRNA	RNA and export factor binding protein 1	BG086593 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086593>	Refbp1	1886	21681	
15367	GRID- 315-R3C2		Homo sapiens conserved gene amplified in  osteosarcoma (OS4), mRNA	Mus musculus, Similar to conserved gene amplified in osteosarcoma, clone MGC:38258 IMAGE:5324816, mRNA, complete cds	BG074212 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074212>		29490	216501	
15368	GRID- 315-R3C4			no value	BG074527 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074527>		41469	-	
15369	GRID- 315-R3C5	platelet derived growth factor receptor, beta polypeptide	Mus musculus platelet derived growth  factor receptor, beta polypeptide (Pdgfrb), mRNA	platelet derived growth factor receptor, beta polypeptide	BG074857 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074857>	Pdgfrb	4146	18596	
15370	GRID- 315-R4C1			ESTs	BG075181 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075181>		197286	-	
15371	GRID- 315-R4C3	heparan sulfate 6-O-sulfotransferase 2	Mus musculus heparan sulfate  6-O-sulfotransferase 2 (Hs6st2), mRNA	no value	BG088064 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088064>	Hs6st2	101450	-	
15372	GRID- 315-R4C4			ESTs	BG075822 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075822>		197300	-	
15373	GRID- 315-R4C5	paternally expressed 3	Mus musculus zinc finger protein  (Peg3) mRNA, complete cds	paternally expressed 3	BG088677 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088677>	Peg3	7952	-	
15374	GRID- 315-R5C1	cDNA sequence BC038313		Mus musculus similar to UBIQUITOUSLY TRANSCRIBED X CHROMOSOME  TETRATRICOPEPTIDE REPEAT PROTEIN (UBIQUITOUSLY  TRANSCRIBED TPR PROTEIN ON THE X CHROMOSOME) (LOC216850),  mRNA	BQ550074 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550074>	BC038313	76646	-	
15375	GRID- 315-R5C2	Transcribed sequence with weak similarity to protein pir:I58401 (M.musculus) I58401 protein-tyrosine kinase		UNKNOWN	BQ550748 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550748>		216353	-	
15376	GRID- 315-R5C3	Transcribed sequences		UNKNOWN	BQ551426 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551426>			-	
15377	GRID- 315-R5C4	promyelocytic leukemia			BQ552066 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552066>	Pml	38497	18854	
15378	GRID- 315-R5C5	RIKEN cDNA 2810407P21 gene		Mus musculus similar to Sec3-like; homolog of yeast exocyst protein  Sec3p (LOC231323), mRNA	BQ552646 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552646>	2810407P21Rik	28271	69940	
15379	GRID- 316-R1C1	selenophosphate synthetase 2	Mus musculus selenophosphate synthetase 2  (Sps2), mRNA	selenophosphate synthetase 2	BG070806 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070806>	Sephs2	20294	20768	
15380	GRID- 316-R1C2	hypothetical protein 6030410K14	Homo sapiens cDNA: FLJ23056 fis,  clone LNG03287	ESTs	BG071233 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071233>	6030410K14	112333	-	
15381	GRID- 316-R1C3	translocating chain-associating membrane protein 1	Homo sapiens translocating  chain-associating membrane protein (TRAM), mRNA	RIKEN cDNA 1810049E02 gene	BG084395 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG084395>	Tram1	28765	72265	
15382	GRID- 316-R1C4	expressed sequence AU045326	Homo sapiens KIAA0255 gene product  (KIAA0255), mRNA	expressed sequence AU045326	BG084735 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG084735>	AU045326	25745	99237	
15383	GRID- 316-R1C5	Transcribed sequences		ESTs	BG072243 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072243>		17634	-	
15384	GRID- 316-R2C1	RIKEN cDNA 1200007D18 gene	Homo sapiens cDNA: FLJ23432 fis,  clone HRC11904	RIKEN cDNA 1200007D18 gene	BG072564 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072564>	1200007D18Rik	34244	67458	
15385	GRID- 316-R2C2	TRAF-binding protein	Homo sapiens, clone 19_A_8, complete  sequence	no value	BG072903 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072903>	Trabid	24823	-	
15386	GRID- 316-R2C3	RIKEN cDNA 2810055E05 gene	Mus musculus mRNA for PS1D  protein	RIKEN cDNA 2810055E05 gene	BG085979 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG085979>	2810055E05Rik	181466	72705	
15387	GRID- 316-R2C5	ferrochelatase	Mus musculus ferrochelatase (Fech), mRNA	ferrochelatase	BG086309 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086309>	Fech	1070	14151	
15388	GRID- 316-R3C1	thioredoxin interacting protein	Mus musculus thioredoxin  interacting factor (Vdup1) gene, complete cds	thioredoxin interacting protein	BG086605 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086605>	Txnip	77432	56338	
15389	GRID- 316-R3C2	10 days neonate cortex cDNA, RIKEN full-length enriched library, clone:A830091E24 product:hypothetical protein, full insert sequence		ESTs	BG074222 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074222>		125500	-	
15390	GRID- 316-R3C4	RIKEN cDNA 9430041O17 gene	M.musculus mRNA expressed in  islet cells (clone 36)	RIKEN cDNA 2010203O03 gene	BG087168 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG087168>	9430041O17Rik	32247	68029	
15391	GRID- 316-R3C5	Transcribed sequence with weak similarity to protein ref:NP_081764.1 (M.musculus) RIKEN cDNA 5730493B19 [Mus musculus]		ESTs	BG074867 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074867>		174176	-	
15392	GRID- 316-R4C1	Fraser syndrome 1 homolog (human)	Homo sapiens mRNA for KIAA1500  protein, partial cds	ESTs	BG075191 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075191>	Fras1	72170	-	
15393	GRID- 316-R4C3	5',3'-nucleotidase, mitochondrial	Mus musculus COP9 (constitutive  photomorphogenic), subunit 3 (Arabidopsis) (Cops3), mRNA	expressed sequence AI846937	BG088076 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088076>	Nt5m	41761	-	
15394	GRID- 316-R4C4	Transcribed sequences		ESTs	BG075833 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075833>		171363	-	
15395	GRID- 316-R4C5	RIKEN cDNA B230354B21 gene	Mus musculus (clone PMLZ2) zinc  finger protein (Zfp) mRNA, 3' end of cds	Mus musculus, clone IMAGE:3586510, mRNA, partial cds	BG076162 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076162>	B230354B21Rik	87487	-	
15396	GRID- 316-R5C1	homolog of Yeast RRP4 (ribosomal RNA processing 4), 3'-5'-exoribonuclease		Mus musculus similar to Exosome complex exonuclease RRP4 (Ribosomal  RNA processing protein 4) (LOC227715), mRNA	BQ550094 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550094>	Rrp4	218290	227715	
15397	GRID- 316-R5C2	RIKEN cDNA 2010008E23 gene		Mus musculus LOC217218 (LOC217218), mRNA	BQ550769 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550769>	2010008E23Rik	101274	72053	
15398	GRID- 316-R5C3	Transcribed sequence with weak similarity to protein ref:NP_081764.1 (M.musculus) RIKEN cDNA 5730493B19 [Mus musculus]		UNKNOWN	BQ551446 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551446>		210895	-	
15399	GRID- 316-R5C4	Transcribed sequences		UNKNOWN	BQ552085 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552085>			-	
15400	GRID- 316-R5C5	RIKEN cDNA 2310061A22 gene		UNKNOWN	BQ552662 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552662>	2310061A22Rik	199149	30894	
15401	GRID- 317-R1C1	Similar to stromelysin-1 PDGF-responsive element binding protein (LOC239190), mRNA	Mus musculus transcription factor 20  (Tcf20), mRNA	expressed sequence AU017455	BG070962 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070962>		38372	105590	
15402	GRID- 317-R1C2	tubby-like protein 3		RIKEN cDNA 2310022L06 gene	BG071227 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071227>	Tulp3	37832	69552	
15403	GRID- 317-R1C3	pre B-cell leukemia transcription factor 2	Mus musculus pre B-cell leukemia  transcription factor 2 (Pbx2), mRNA	pre B-cell leukemia transcription factor 2	BG084385 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG084385>	Pbx2	7103	18515	
15404	GRID- 317-R1C4	RIKEN cDNA 1500015O10 gene		RIKEN cDNA 1500015O10 gene	BG071883 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071883>	1500015O10Rik	11819	78896	
15405	GRID- 317-R1C5	three prime repair exonuclease 1	Mus musculus 3'-5' exonuclease  TREX1 mRNA, complete cds	three prime repair exonuclease 1	BG072232 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072232>	Trex1	17632	22040	
15406	GRID- 317-R2C1		Mus domesticus strain MilP  mitocondrion genome, complete sequence	no value	BI076595 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BI076595>		no value	-	
15407	GRID- 317-R2C2	complement component 1, q subcomponent, gamma polypeptide	Mus musculus complement component 1, q  subcomponent, c polypeptide (C1qc), mRNA	complement component 1, q subcomponent, c polypeptide	AW547306 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW547306>	C1qg	3453	12262	
15408	GRID- 317-R2C3	RIKEN cDNA 2810417H13 gene		RIKEN cDNA 2810417H13 gene	BG073230 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073230>	2810417H13Rik	45765	68026	
15409	GRID- 317-R2C5		Mus domesticus strain MilP  mitocondrion genome, complete sequence	no value	BG086298 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086298>		no value	-	
15410	GRID- 317-R3C1	RIKEN cDNA 5430419M09 gene		RIKEN cDNA 5430419M09 gene	BG073877 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073877>	5430419M09Rik	24646	74504	
15411	GRID- 317-R3C2	RIKEN cDNA 4932435O22 gene		ESTs	BG074213 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074213>	4932435O22Rik	50754	-	
15412	GRID- 317-R3C4	10 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:B930032K05 product:unknown EST, full insert sequence		ESTs	BG074528 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074528>		182725	-	
15413	GRID- 317-R3C5		Mus musculus major histocompatibility  locus class II region; Fas-binding protein Daxx (DAXX)  gene, partial cds; Bing1 (BING1), tapasin (tapasin),  RalGDS-like factor (RLF), KE2 (KE2), BING4 (BING4),	no value	AW554541 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW554541>		no value	-	
15414	GRID- 317-R4C1	Transcribed sequences		no value	AW555408 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW555408>		no value	-	
15415	GRID- 317-R4C3	optic atrophy 1 homolog (human)	Homo sapiens mRNA for KIAA0567  protein, partial cds	RIKEN cDNA 1200011N24 gene	BG088065 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088065>	Opa1	31402	-	
15416	GRID- 317-R4C4			no value	BI076824 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BI076824>		no value	-	
15417	GRID- 317-R4C5	protein phosphatase 1D magnesium-dependent, delta isoform	Mus musculus protein phosphatase 1D  magnesium-dependent, delta isoform (Ppm1d), mRNA	protein phosphatase 1D magnesium-dependent, delta isoform	BG088678 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088678>	Ppm1d	45609	-	
15418	GRID- 317-R5C1	c-myc binding protein		Mus musculus, c-myc binding protein, clone MGC:13820 IMAGE:3985166,  mRNA, complete cds	BQ550076 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550076>	Mycbp	12975	-	
15419	GRID- 317-R5C2	RIKEN cDNA 0610009I22 gene		Mus musculus similar to data source:SPTR, source key:Q9UJA2,  evidence:ISS~homolog to DJ967N21.6 (NOVEL CDP-ALCOHOL  PHOSPHATIDYLTRANSFERASE FAMILY MEMBER PROTEIN)  (CAPTASE-ISO)~putative (0610009I22Rik), mRNA	BQ550750 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550750>	0610009I22Rik	195741	66586	
15420	GRID- 317-R5C3	leukocyte receptor cluster (LRC) member 4		UNKNOWN	BQ551428 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551428>	Leng4	36885	70605	
15421	GRID- 317-R5C4	RIKEN cDNA 1700065O13 gene			BQ552067 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552067>	1700065O13Rik	129453	73451	
15422	GRID- 317-R5C5	Transcribed sequences		UNKNOWN	BQ552648 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552648>			-	
15423	GRID- 318-R1C1	Similar to CG9004-PA (LOC381627), mRNA		ESTs	BG070807 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070807>		26047	-	
15424	GRID- 318-R1C2	Transcribed sequences		ESTs	BG071234 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071234>		163328	-	
15425	GRID- 318-R1C3	Transcribed sequences		DNA segment, Chr 4, ERATO Doi 561, expressed	AU043447 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AU043447>		12014	52329	
15426	GRID- 318-R1C4	mbt domain containing 1	Homo sapiens hypothetical protein  FLJ20055 (FLJ20055), mRNA	expressed sequence AA408199	AU045245 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AU045245>	Mbtd1	29067	103537	
15427	GRID- 318-R1C5	Transcribed sequence with weak similarity to protein ref:NP_081764.1 (M.musculus) RIKEN cDNA 5730493B19 [Mus musculus]		no value	AU041989 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AU041989>		no value	-	
15428	GRID- 318-R2C1	peroxisomal farnesylated protein	M.musculus pxF gene, strain 129VJ	peroxisomal farnesylated protein	BG085359 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG085359>	Pxf	144235	19298	
15429	GRID- 318-R2C2	RAD51 homolog (S. cerevisiae)	Mus musculus Rad51 homolog (S.  cerevisiae) (Rad51), mRNA	RAD51 homolog (S. cerevisiae)	BG072904 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072904>	Rad51	231	19361	
15430	GRID- 318-R2C3	proteasome (prosome, macropain) activator subunit 4	Human mRNA for KIAA0077 gene,  partial cds	expressed sequence AA409398	BG085980 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG085980>	Psme4	21963	103554	
15431	GRID- 318-R2C5			no value	AW550368 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW550368>		no value	-	
15432	GRID- 318-R3C1	RIKEN cDNA 0610040B21 gene	Homo sapiens hypothetical protein  (LOC51060), mRNA	RIKEN cDNA 0610040B21 gene	BG086606 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086606>	0610040B21Rik	31076	66073	
15433	GRID- 318-R3C2	cold shock domain protein A	Mus musculus testis RNA binding  protein MSY4 mRNA, complete cds	cold shock domain protein A	BG086929 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086929>	Csda	141587	56449	
15434	GRID- 318-R3C4	RIKEN cDNA 1700015E05 gene	Homo sapiens protein disulfide  isomerase-related protein (P5), mRNA	RIKEN cDNA 1700015E05 gene	BG087169 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG087169>	1700015E05Rik	182959	71853	
15435	GRID- 318-R3C5			no value	AW554560 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW554560>		31078	-	
15436	GRID- 318-R4C1	helicase, lymphoid specific	Mus musculus helicase, lymphoid  specific (Hells), mRNA	helicase, lymphoid specific	BG087654 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG087654>	Hells	57223	15201	
15437	GRID- 318-R4C3			no value	BI076808 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BI076808>		no value	-	
15438	GRID- 318-R4C4	RIKEN cDNA C330002I19 gene	Rattus norvegicus KIDINS220  (Kidins220) mRNA, complete cds	expressed sequence AI316525	BG075834 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075834>	C330002I19Rik	203892	-	
15439	GRID- 318-R4C5	CREB binding protein		expressed sequence AW558298	BG076163 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076163>	Crebbp	23990	-	
15440	GRID- 318-R5C1	peroxiredoxin 2			BQ550096 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550096>	Prdx2		21672	
15441	GRID- 318-R5C2	RIKEN cDNA 2610016C12 gene			BQ550771 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550771>	2610016C12Rik	41775	67841	
15442	GRID- 318-R5C3				BQ551447 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551447>		208367	-	
15443	GRID- 318-R5C4				BQ552087 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552087>			-	
15444	GRID- 318-R5C5	Transcribed sequences		UNKNOWN	BQ552664 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552664>			-	
15445	GRID- 319-R1C1		Mus musculus putative REX-2 mRNA,  complete cds	ESTs, Moderately similar to putative REX-2 [M.musculus]	BG083801 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG083801>		38876	112422	
15446	GRID- 319-R1C2	RIKEN cDNA 1600029D21 gene		RIKEN cDNA 1600029D21 gene	BI076418 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BI076418>	1600029D21Rik	29959	76509	
15447	GRID- 319-R1C3	importin 7	Mus musculus Ranbp7 gene, Staf  gene and Wee1 gene	RIKEN cDNA 5730403B10 gene	BG084386 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG084386>	Ipo7	157648	66626	
15448	GRID- 319-R1C4	cordon-bleu		ESTs, Moderately similar to T00381 KIAA0633 protein [H.sapiens]	AU045206 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AU045206>	Cobl	22847	-	
15449	GRID- 319-R1C5			no value	BG072233 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072233>		27700	-	
15450	GRID- 319-R2C1		Mus domesticus strain MilP  mitocondrion genome, complete sequence	no value	BI076595 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BI076595>		no value	-	
15451	GRID- 319-R2C2	SEC8-like 1 (S. cerevisiae)	Mus musculus SEC8 (S. cerevisiae) (Sec8),  mRNA	SEC8 (S. cerevisiae)	BG085678 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG085678>	Sec8l1	6925	20336	
15452	GRID- 319-R2C3	polypyrimidine tract binding protein 2	Mus musculus polypyrimidine tract binding  protein 2 (Ptb2-pending), mRNA	polypyrimidine tract binding protein 2	BG085970 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG085970>	Ptbp2	29966	56195	
15453	GRID- 319-R2C5		Mus domesticus strain MilP  mitocondrion genome, complete sequence	no value	BG086299 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086299>		no value	-	
15454	GRID- 319-R3C1	MAD homolog 4 (Drosophila)	Mus musculus MAD homolog 4 (Drosophila)  (Madh4), mRNA	MAD homolog 4 (Drosophila)	BG086595 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086595>	Madh4	100399	17128	
15455	GRID- 319-R3C2	RIKEN cDNA 4432406C05 gene	Homo sapiens DKFZP564K2062 protein  (DKFZP564K2062), mRNA	RIKEN cDNA 4432406C05 gene	BG086920 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086920>	4432406C05Rik	10068	66690	
15456	GRID- 319-R3C4	Transcribed sequences		ESTs	BG074529 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074529>		87267	-	
15457	GRID- 319-R3C5	Adult male pituitary gland cDNA, RIKEN full-length enriched library, clone:5330429B09 product:unknown EST, full insert sequence		ESTs	BG074858 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074858>		27819	-	
15458	GRID- 319-R4C1	RIKEN cDNA 1300010M03 gene	Homo sapiens GT212 mRNA	RIKEN cDNA 1300010M03 gene	BG075182 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075182>	1300010M03Rik	33881	67998	
15459	GRID- 319-R4C3	expressed sequence AW547365	Homo sapiens cDNA FLJ12487 fis,  clone NT2RM2000609, highly similar to Homo sapiens CTL1  gene	expressed sequence AW547365	BG088066 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088066>	AW547365	30015	-	
15460	GRID- 319-R4C4	ubiquitin specific protease 16	Mus musculus Cctq gene for  chaperonin containing TCP-1 theta subunit, complete cds	no value	BG075823 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075823>	Usp16	179101	-	
15461	GRID- 319-R4C5	protein tyrosine phosphatase, non-receptor type 2	R.norvegicus PTP-S gene	protein tyrosine phosphatase, non-receptor type 2	BG088679 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088679>	Ptpn2	985	-	
15462	GRID- 319-R5C1	cDNA sequence AK129375		Mus musculus similar to homolog of yeast nuclear protein localization  4 (LOC217365), mRNA	BQ550077 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550077>	AK129375	15125	20320	
15463	GRID- 319-R5C2	Transcribed sequence with strong similarity to protein pir:S12207 (M.musculus) S12207 hypothetical protein		UNKNOWN	BQ550752 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550752>			-	
15464	GRID- 319-R5C3	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase		UNKNOWN	BQ551430 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551430>		156827	-	
15465	GRID- 319-R5C4	Transcribed sequences		UNKNOWN	BQ552068 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552068>		35403	-	
15466	GRID- 319-R5C5	RIKEN cDNA 1810036I24 gene		Mus musculus RIKEN cDNA 1810036I24 gene (1810036I24Rik), mRNA	BQ552650 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552650>	1810036I24Rik	9806	67510	
15467	GRID- 320-R1C1			no value	BG070808 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070808>		27700	-	
15468	GRID- 320-R1C2	Transcribed sequences		ESTs	BG071235 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071235>		104085	-	
15469	GRID- 320-R1C3	mutS homolog 2 (E. coli)	Mus musculus mutS homolog 2 (E. coli)  (Msh2), mRNA	mutS homolog 2 (E. coli)	AU043450 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AU043450>	Msh2	4619	17685	
